enrollee_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,Xgrp
4167.0,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106.0,0.0,train
5764.0,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7.0,0.0,train
2156.0,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23.0,1.0,train
11399.0,city_13,0.8270000000000001,Female,Has relevant experience,no_enrollment,Graduate,Arts,4,,,1,132.0,1.0,train
31972.0,city_159,0.843,Male,Has relevant experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68.0,0.0,train
19061.0,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50.0,0.0,train
6491.0,city_102,0.804,,Has relevant experience,no_enrollment,Masters,STEM,10,,,1,48.0,0.0,train
7041.0,city_40,0.7759999999999999,Male,Has relevant experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65.0,0.0,train
22767.0,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13.0,0.0,train
14505.0,city_67,0.855,,No relevant experience,no_enrollment,High School,,4,,,never,22.0,0.0,train
17139.0,city_21,0.624,,Has relevant experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148.0,1.0,train
28476.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Arts,5,,,2,72.0,0.0,train
21538.0,city_100,0.887,Male,Has relevant experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,8.0,1.0,train
10408.0,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68.0,1.0,train
14928.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40.0,0.0,train
22293.0,city_103,0.92,Male,Has relevant experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141.0,0.0,train
4324.0,city_103,0.92,Female,No relevant experience,Full time course,Graduate,STEM,5,,,1,24.0,0.0,train
26966.0,city_160,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82.0,0.0,train
26494.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145.0,0.0,train
4866.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206.0,0.0,train
12726.0,city_114,0.926,Male,No relevant experience,Part time course,High School,,1,10000+,Other,1,152.0,0.0,train
10164.0,city_114,0.926,Male,Has relevant experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42.0,1.0,train
8612.0,city_103,0.92,,No relevant experience,no_enrollment,Graduate,STEM,12,,,4,50.0,0.0,train
24659.0,city_71,0.884,Male,No relevant experience,no_enrollment,,,3,,,never,106.0,0.0,train
2547.0,city_114,0.926,Female,Has relevant experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14.0,0.0,train
13854.0,city_104,0.924,Male,Has relevant experience,no_enrollment,High School,,4,10/49,Pvt Ltd,2,36.0,0.0,train
31654.0,city_21,0.624,,Has relevant experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112.0,1.0,train
13643.0,city_64,0.6659999999999999,,No relevant experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108.0,0.0,train
5590.0,city_21,0.624,Male,Has relevant experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7.0,1.0,train
22452.0,city_21,0.624,Female,No relevant experience,Full time course,Masters,STEM,5,,,never,26.0,1.0,train
9006.0,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87.0,1.0,train
25987.0,city_103,0.92,Other,Has relevant experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52.0,1.0,train
4476.0,city_101,0.5579999999999999,Male,Has relevant experience,no_enrollment,Graduate,No Major,15,,,>4,20.0,1.0,train
25103.0,city_83,0.923,Male,Has relevant experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21.0,0.0,train
5568.0,city_101,0.5579999999999999,Male,No relevant experience,no_enrollment,Graduate,STEM,4,,,1,92.0,1.0,train
2195.0,city_64,0.6659999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102.0,0.0,train
30533.0,city_105,0.794,Male,No relevant experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26.0,0.0,train
28512.0,city_104,0.924,,Has relevant experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7.0,0.0,train
1023.0,city_114,0.926,Male,No relevant experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43.0,0.0,train
12253.0,city_104,0.924,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45.0,0.0,train
25296.0,city_73,0.754,Male,Has relevant experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52.0,0.0,train
13238.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,2,19.0,0.0,train
13478.0,city_21,0.624,,Has relevant experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,,32.0,1.0,train
18578.0,city_162,0.767,Male,Has relevant experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26.0,1.0,train
29975.0,city_67,0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,,,1,90.0,0.0,train
26516.0,city_75,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25.0,0.0,train
24690.0,city_41,0.8270000000000001,,Has relevant experience,,Masters,STEM,13,<10,,1,15.0,0.0,train
8433.0,city_100,0.887,Male,Has relevant experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48.0,0.0,train
9572.0,city_11,0.55,,No relevant experience,Full time course,High School,,3,,,,98.0,0.0,train
5878.0,city_93,0.865,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142.0,1.0,train
25695.0,city_67,0.855,Other,No relevant experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13.0,0.0,train
9645.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,,,>4,47.0,0.0,train
12730.0,city_16,0.91,Female,Has relevant experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28.0,0.0,train
4830.0,city_90,0.698,,No relevant experience,,,,2,,Pvt Ltd,never,228.0,1.0,train
20970.0,city_64,0.6659999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,4,22.0,0.0,train
17271.0,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,<1,,,never,18.0,1.0,train
12731.0,city_13,0.8270000000000001,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29.0,0.0,train
10908.0,city_67,0.855,Male,Has relevant experience,no_enrollment,Masters,STEM,5,100-500,,1,46.0,0.0,train
29117.0,city_11,0.55,,No relevant experience,Full time course,Graduate,STEM,<1,,,never,12.0,0.0,train
3686.0,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17.0,0.0,train
22683.0,city_36,0.893,Male,Has relevant experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65.0,0.0,train
22134.0,city_103,0.92,Male,No relevant experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35.0,0.0,train
31765.0,city_67,0.855,Male,No relevant experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14.0,0.0,train
31449.0,city_103,0.92,Female,Has relevant experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4.0,0.0,train
5987.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12.0,0.0,train
21762.0,city_160,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108.0,0.0,train
22070.0,city_103,0.92,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,,,1,136.0,0.0,train
25413.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,5,10/49,,1,27.0,0.0,train
5902.0,city_20,0.7959999999999999,,Has relevant experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74.0,0.0,train
28403.0,city_71,0.884,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86.0,0.0,train
30937.0,city_57,0.866,Female,No relevant experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83.0,0.0,train
28751.0,city_103,0.92,,No relevant experience,Full time course,High School,,4,,,3,75.0,0.0,train
29290.0,city_152,0.698,Male,No relevant experience,Full time course,Masters,STEM,11,,Public Sector,2,42.0,0.0,train
32401.0,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,6,100-500,,1,332.0,0.0,train
19128.0,city_61,0.913,Male,No relevant experience,Full time course,Graduate,STEM,4,,,,140.0,0.0,train
29036.0,city_16,0.91,Male,No relevant experience,no_enrollment,High School,,3,,,never,182.0,0.0,train
16869.0,city_103,0.92,Female,No relevant experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13.0,1.0,train
10497.0,city_19,0.682,,Has relevant experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172.0,1.0,train
18099.0,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48.0,0.0,train
12081.0,city_65,0.802,Male,Has relevant experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33.0,0.0,train
7364.0,city_160,0.92,,No relevant experience,Full time course,High School,,2,100-500,Pvt Ltd,1,142.0,0.0,train
11184.0,city_74,0.579,,No relevant experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34.0,0.0,train
7016.0,city_65,0.802,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14.0,1.0,train
8695.0,city_11,0.55,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27.0,1.0,train
6172.0,city_11,0.55,Male,Has relevant experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24.0,1.0,train
14672.0,city_173,0.878,,No relevant experience,no_enrollment,Masters,STEM,>20,,,1,150.0,0.0,train
18257.0,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20.0,0.0,train
24493.0,city_103,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,5,500-999,,1,140.0,0.0,train
1180.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52.0,0.0,train
28627.0,city_75,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160.0,0.0,train
8168.0,city_136,0.897,Male,Has relevant experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3.0,0.0,train
10473.0,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2.0,1.0,train
25349.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28.0,0.0,train
5220.0,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,Other,>20,,,4,46.0,0.0,train
4789.0,city_67,0.855,Male,Has relevant experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210.0,0.0,train
11338.0,city_114,0.926,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36.0,0.0,train
27963.0,city_98,0.949,Male,No relevant experience,Full time course,Graduate,STEM,4,,,1,160.0,1.0,train
8571.0,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101.0,0.0,train
16303.0,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,6,50-99,,1,46.0,0.0,train
20576.0,city_97,0.925,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19.0,0.0,train
32966.0,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26.0,1.0,train
21199.0,city_90,0.698,,Has relevant experience,Full time course,Graduate,STEM,7,<10,NGO,1,90.0,0.0,train
18819.0,city_50,0.8959999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59.0,0.0,train
14199.0,city_160,0.92,Male,Has relevant experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260.0,0.0,train
7666.0,city_21,0.624,Female,Has relevant experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74.0,0.0,train
13915.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20.0,1.0,train
10555.0,city_173,0.878,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8.0,0.0,train
16040.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131.0,0.0,train
32826.0,city_138,0.836,Male,Has relevant experience,Full time course,Masters,STEM,7,,,1,45.0,0.0,train
13253.0,city_82,0.693,Male,Has relevant experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109.0,0.0,train
15637.0,city_67,0.855,Male,Has relevant experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70.0,0.0,train
28074.0,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17.0,0.0,train
23012.0,city_103,0.92,Female,No relevant experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51.0,0.0,train
16110.0,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60.0,1.0,train
3921.0,city_36,0.893,,No relevant experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4.0,0.0,train
24530.0,city_114,0.926,Male,No relevant experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7.0,0.0,train
1924.0,city_102,0.804,,Has relevant experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164.0,0.0,train
32776.0,city_64,0.6659999999999999,Male,Has relevant experience,no_enrollment,Graduate,STEM,20,,,4,290.0,0.0,train
1907.0,city_102,0.804,Male,No relevant experience,no_enrollment,High School,,2,<10,NGO,never,145.0,0.0,train
23947.0,city_103,0.92,,No relevant experience,no_enrollment,Phd,STEM,,,,,70.0,0.0,train
3116.0,city_21,0.624,Male,No relevant experience,no_enrollment,,,3,,,1,24.0,0.0,train
24829.0,city_103,0.92,Male,No relevant experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133.0,1.0,train
30488.0,city_11,0.55,,No relevant experience,Full time course,Graduate,STEM,2,,,1,20.0,0.0,train
1265.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76.0,0.0,train
22098.0,city_90,0.698,Female,No relevant experience,Full time course,Masters,STEM,5,,,4,21.0,1.0,train
13342.0,city_21,0.624,Female,Has relevant experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34.0,0.0,train
24608.0,city_160,0.92,Male,No relevant experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15.0,0.0,train
20081.0,city_57,0.866,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,,,>4,156.0,0.0,train
24796.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15.0,0.0,train
7777.0,city_114,0.926,,Has relevant experience,no_enrollment,Masters,STEM,>20,,,never,120.0,0.0,train
22718.0,city_157,0.769,,Has relevant experience,no_enrollment,Graduate,No Major,14,10000+,,>4,47.0,0.0,train
1261.0,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,,,2,100.0,1.0,train
3396.0,city_67,0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102.0,0.0,train
4283.0,city_103,0.92,Male,No relevant experience,no_enrollment,High School,,4,,,never,52.0,0.0,train
18998.0,city_114,0.926,,Has relevant experience,no_enrollment,High School,,9,10/49,,4,39.0,0.0,train
2003.0,city_103,0.92,Male,Has relevant experience,Full time course,High School,,4,,,1,112.0,1.0,train
31786.0,city_103,0.92,Male,No relevant experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14.0,0.0,train
8241.0,city_16,0.91,,Has relevant experience,no_enrollment,,,11,,,1,4.0,0.0,train
12154.0,city_16,0.91,,Has relevant experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55.0,0.0,train
23455.0,city_21,0.624,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49.0,1.0,train
19882.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,,,>4,72.0,0.0,train
28817.0,city_89,0.925,Male,Has relevant experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141.0,1.0,train
4656.0,city_114,0.926,Male,No relevant experience,no_enrollment,High School,,6,,Pvt Ltd,never,28.0,0.0,train
7280.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6.0,0.0,train
16903.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125.0,0.0,train
13333.0,city_75,0.939,,Has relevant experience,no_enrollment,Graduate,STEM,>20,,,never,326.0,0.0,train
26241.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33.0,0.0,train
12381.0,city_102,0.804,,No relevant experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40.0,0.0,train
4064.0,city_160,0.92,,Has relevant experience,no_enrollment,Graduate,STEM,18,,,1,198.0,1.0,train
32092.0,city_103,0.92,Female,Has relevant experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55.0,0.0,train
3766.0,city_150,0.698,Male,No relevant experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32.0,0.0,train
30496.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11.0,0.0,train
7189.0,city_73,0.754,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41.0,0.0,train
29497.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87.0,1.0,train
31593.0,city_67,0.855,Male,Has relevant experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114.0,0.0,train
12384.0,city_70,0.698,,Has relevant experience,,,,>20,,,>4,33.0,0.0,train
11986.0,city_90,0.698,Male,Has relevant experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15.0,0.0,train
31033.0,city_16,0.91,,No relevant experience,Full time course,High School,,3,,,1,8.0,0.0,train
14835.0,city_173,0.878,Female,Has relevant experience,Part time course,High School,,2,100-500,NGO,1,22.0,0.0,train
3728.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13.0,0.0,train
3024.0,city_98,0.949,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246.0,0.0,train
23508.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,22.0,0.0,train
29457.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81.0,0.0,train
12297.0,city_175,0.7759999999999999,,Has relevant experience,Full time course,Graduate,STEM,4,10/49,Funded Startup,1,11.0,0.0,train
27708.0,city_94,0.698,Male,No relevant experience,Full time course,Graduate,STEM,5,5000-9999,,,24.0,1.0,train
3065.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50.0,0.0,train
29226.0,city_104,0.924,Male,No relevant experience,Full time course,High School,,6,,,never,15.0,0.0,train
5493.0,city_28,0.939,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31.0,0.0,train
2891.0,city_114,0.926,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84.0,0.0,train
32509.0,city_136,0.897,Male,Has relevant experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42.0,0.0,train
31841.0,city_21,0.624,,Has relevant experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,105.0,1.0,train
907.0,city_103,0.92,Female,Has relevant experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72.0,0.0,train
29526.0,city_115,0.789,Male,Has relevant experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,42.0,1.0,train
10956.0,city_94,0.698,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152.0,0.0,train
26099.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60.0,0.0,train
26163.0,city_21,0.624,Male,No relevant experience,Full time course,Masters,STEM,2,,,never,8.0,0.0,train
4120.0,city_16,0.91,Male,No relevant experience,Full time course,Masters,STEM,13,,,3,17.0,1.0,train
7335.0,city_83,0.923,Male,No relevant experience,no_enrollment,High School,,1,,,1,33.0,0.0,train
706.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38.0,0.0,train
9890.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178.0,0.0,train
32683.0,city_160,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11.0,0.0,train
27104.0,city_36,0.893,Male,Has relevant experience,no_enrollment,High School,,>20,,,never,87.0,0.0,train
7731.0,city_65,0.802,Male,Has relevant experience,no_enrollment,Graduate,STEM,13,,,never,84.0,0.0,train
31943.0,city_71,0.884,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32.0,0.0,train
22899.0,city_100,0.887,,Has relevant experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31.0,1.0,train
33339.0,city_21,0.624,Male,No relevant experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39.0,0.0,train
20866.0,city_59,0.775,,Has relevant experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,12.0,0.0,train
21634.0,city_21,0.624,,Has relevant experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50.0,0.0,train
29529.0,city_165,0.903,Male,Has relevant experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55.0,1.0,train
4478.0,city_11,0.55,,Has relevant experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,,7.0,1.0,train
32095.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104.0,0.0,train
18272.0,city_160,0.92,,Has relevant experience,Full time course,Graduate,Business Degree,>20,,,>4,90.0,1.0,train
30098.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8.0,0.0,train
23825.0,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,2,,,never,102.0,0.0,train
7672.0,city_21,0.624,,Has relevant experience,no_enrollment,Masters,STEM,<1,10/49,Pvt Ltd,1,202.0,1.0,train
5633.0,city_145,0.555,,Has relevant experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22.0,0.0,train
30695.0,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42.0,0.0,train
5573.0,city_160,0.92,,No relevant experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,50.0,0.0,train
24936.0,city_21,0.624,Male,Has relevant experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88.0,0.0,train
397.0,city_73,0.754,,Has relevant experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81.0,0.0,train
31602.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7.0,0.0,train
5278.0,city_21,0.624,Male,No relevant experience,no_enrollment,,,3,,Pvt Ltd,never,218.0,0.0,train
16814.0,city_16,0.91,Male,Has relevant experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62.0,0.0,train
19249.0,city_103,0.92,Male,Has relevant experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83.0,0.0,train
9475.0,city_28,0.939,Male,Has relevant experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11.0,0.0,train
4865.0,city_114,0.926,Male,No relevant experience,Part time course,Phd,STEM,>20,50-99,,>4,10.0,0.0,train
20881.0,city_28,0.939,Male,Has relevant experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114.0,0.0,train
